Text,Marked,Labels
அழியாத கல்வி,அழியாத+கல்வி, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
ஒன்று கேள்,ஒன்று+கேள், NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
ஒரு பொருள்,ஒரு+பொருள், NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
இரண்டு புத்தகம்,இரண்டு+புத்தகம், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
இரு பறவை,இரு+பறவை, NSP NSP NSP SP NSP NSP NSP NSP
மூன்று குறிக்கோள்,மூன்று+குறிக்கோள், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
நான்கு பேர்,நான்கு+பேர், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
ஐந்து கதைகள்,ஐந்து+கதைகள், NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
ஆறு கோவில்,ஆறு+கோவில், NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
அறுசீர்,அறு+சீர், NSP NSP NSP SP NSP NSP NSP NSP
ஏழு சான்றுகள்,ஏழு+சான்றுகள், NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP
எழு பிறப்பு,ஏழு+பிறப்பு, NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
ஒன்பது சுவைகள்,ஒன்பது+சுவைகள், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
கலகல,கல+கல, NSP NSP SP NSP NSP
சடசட,சட+சட, NSP NSP SP NSP NSP
பளபள,பள+பள, NSP NSP SP NSP NSP
தீதீ,தீ+தீ, NSP NSP SP NSP NSP
பார்பார்,பார்+பார், NSP NSP NSP NSP SP NSP NSP NSP NSP
கற்க கசடற,கற்க+கசடற, NSP NSP NSP NSP SP NSP NSP NSP NSP
வெல்க தமிழ்,வெல்க+தமிழ், NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
வீழ்க தண்புனல்,வீழ்க+தண்புனல், NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
பல பசு,பல+பசு, NSP NSP SP NSP NSP NSP
சில கலை,சில+கலை, NSP NSP NSP SP NSP NSP NSP
அவை தவித்தன,அவை+தவித்தன, NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
வா கலையரசி,வா+கலையரசி, NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
எழு தம்பி,எழு+தம்பி, NSP NSP NSP SP NSP NSP NSP NSP NSP
போ செல்வி,போ+செல்வி, NSP NSP SP NSP NSP NSP NSP NSP NSP
பார் பெண்ணே,பார்+பெண்ணே, NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
கோவலனோடு கண்ணகி வந்தாள்,கோவலனோடு+கண்ணகி வந்தாள், NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
துணிவோடு செல்க,துணிவோடு+செல்க, NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
அண்ணனோடு தங்கை வந்தாள்,அண்ணனோடு+தங்கை வந்தாள், NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
காணிய சென்றேன்,காணிய+சென்றேன், NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
உண்ணிய சென்றாள்,உண்ணிய+சென்றாள், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
தாய் கண்டாள்,தாய்+கண்டாள், NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
விரிசுடர்,விரி+சுடர், NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
பாய்புலி,பாய்+புலி, NSP NSP NSP NSP SP NSP NSP NSP NSP
காய்கனி,காய்+கனி, NSP NSP NSP NSP SP NSP NSP NSP
தாய்தந்தை,தாய்+தந்தை, NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
அது பறந்தது,அது+பறந்தது, NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
இது கடித்தது,இது+கடித்தது, NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
எது பறந்தது?,எது+பறந்தது, NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
யாது தந்தார்?,யாது+தந்தார், NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
கண்ணா பாடு,கண்ணா+பாடு, NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
அண்ணா கேள்,அண்ணா+கேள், NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
எழுத்துகள்,எழுத்து+கள், NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
கருத்துகள்,கருத்து+கள், NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
வாழ்த்துகள்,வாழ்த்து+கள், NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
போற்றுதல்,போற்று+தல், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
நொறுக்குதல்,நொறுக்கு+தல், NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
கோஷ்டி கானம்,கோஷ்டி+கானம், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
சங்கீத சபா,சங்கீத+சபா, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
வாழைப்பழம்,வாழை+பழம், NSP NSP NSP NSP SP NSP NSP NSP NSP
மாமரம்,மா+மரம், NSP NSP SP NSP NSP NSP NSP
அவரைக்காய்,அவரை+காய், NSP NSP NSP NSP SP NSP NSP NSP NSP
மட்குடம்,மண்+குடம், NSP NSP NSP SP NSP NSP NSP NSP NSP
மரவேர்,மரம்+வேர், NSP NSP NSP NSP SP NSP NSP NSP NSP
பெருவள்ளல்,பெருமை+வள்ளல், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
பெருநன்மை,பெருமை+நன்மை, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
மணியழகு,மணி+அழகு, NSP NSP NSP SP NSP NSP NSP NSP
கருத்தோடிசைந்து,கருத்தோடு+இசைந்து, NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
பயணங்கள்,பயணம்+கள், NSP NSP NSP NSP NSP SP NSP NSP NSP
ஆதாரக்கோடுகள்,ஆதாரம்+கோடுகள், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
உருவெடுத்துள்ளன,உருவ+உடுத்துள்ளன, NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
இசைக்கருவி,இசை+கருவி, NSP NSP NSP SP NSP NSP NSP NSP NSP
துளைக்கருவிகள்,துளை+கருவிகள், NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
சக்கரங்கள்,சக்கர+கள், NSP NSP NSP NSP NSP SP NSP NSP NSP
கருங்கடல்,கரு+கடல், NSP NSP NSP SP NSP NSP NSP NSP
நவீனக்கதையாக,நவீன+கதை+ஆக, NSP NSP NSP NSP SP NSP NSP NSP SP NSP NSP
சிவந்த,சிவப்பு+நடை, NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
இருட்டுக்குள்,இருட்டு+குள், NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
கரும்புத்,கரும்பு+த், NSP NSP NSP NSP NSP NSP NSP SP NSP NSP
துயரக்காற்று,துயரம்+காற்று, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
இயற்பியல்,இயல்+பியல், NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
கேலக்ஸி,கலை+க்ஸி, NSP NSP NSP SP NSP NSP NSP NSP
கள்ளுக்கடை,கள்ளு+கடை, NSP NSP NSP NSP NSP SP NSP NSP NSP
மதுரக்கள்ளு,மதுரை+க்கள்ளு, NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
பக்கங்கள்,பக்கம்+கள், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
இறந்துவிட்ட,இறந்த+விட்ட, NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
இக்கதையை,இந்த+கதை+ஐ, NSP NSP NSP NSP SP NSP NSP NSP SP NSP
விளக்குகள்,விளக்கு+கள், NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
ஸிரசாத்தும்,ஸிரசா+த்தும், NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
இருளில்,இருள்+இல், NSP NSP NSP NSP NSP SP NSP NSP NSP
பயணித்துக்,பயணம்+இத்து+க, NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP SP NSP
நாடகக்குழு,நாடகம்+குழு, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
அப்பணசாமி,அப்பன்+சாமி, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
வள்ளிதிருமணம்,வள்ளி+திருமணம், NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
நடக்கும்,நட+க்கும், NSP NSP SP NSP NSP NSP NSP NSP NSP
இலக்கணம்,இலக்கு+ணம், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
நாடகக்காரர்கள்,நாடகம்+காரர்கள், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
மறந்துபோய்,மறந்த+போய், NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
நகரும்,நகர்+ும், NSP NSP NSP NSP SP NSP NSP NSP
இருக்கிறார்கள்,இருக்க+ிறார்கள், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
பயணித்த,பயணம்+இத்து, NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
கிழக்கில்,கிழக்கு+இல், NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
பக்கத்தில்,பக்கம்+இல், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
சீறிவரும்,சீறும்+வரும், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
ஊருமே,ஊர்+உமே, NSP NSP NSP SP NSP NSP NSP
இறந்துபோன,இறந்த+போன, NSP NSP NSP NSP NSP SP NSP NSP NSP
குழந்தையின்,குழந்தை+இன், NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
ஒன்றுகலந்து,ஒன்று+கலந்து, NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
அக்கார்டியன்,அக்கார்ட்+டியன், NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
கந்தசாமி,கந்த+சாமி+இன், NSP NSP NSP NSP SP NSP NSP NSP NSP SP NSP NSP NSP
வெளிவந்த,வெளியே+வந்த, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
பாட்டக்குளம்,பாட்டு+குளம், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
இருமுனை,இரு+முனை, NSP NSP NSP SP NSP NSP NSP NSP
இயற்கையின்,இயற்கை+இன், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
மயக்கமுறும்,மயக்கம்+முறும், NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
இயலாமையின்,இயலாமை+இன், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
உருக்கம்,உரு+க்கம், NSP NSP NSP SP NSP NSP NSP NSP NSP
சரவணக்குமார்,சரவணன்+குமார், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
கிடக்கும்,கிடைக்க+ும், NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
இருக்கும்,இருக்க+ும், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
இக்கதை,இந்த+கதை, NSP NSP NSP NSP SP NSP NSP NSP
இருட்டு,இருள்+ட்டு, NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
ஜெயந்தன்,ஜெய+ந்தன், NSP NSP NSP SP NSP NSP NSP NSP NSP
வந்துசெல்கிறது,வந்த+செல்கிறது, NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP
ஜெயந்தனின்,ஜெயந்தன்+இன், NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
வரும்,வர+ும், NSP NSP SP NSP NSP NSP
இருவர்,இரு+வர, NSP NSP NSP SP NSP NSP
இருந்துவரும்,இருந்த+வரும், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
சம்பந்தமில்லாமல்,சம்பந்த+மில்லாமல், NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP
இருந்தது,இருந்த+து, NSP NSP NSP NSP NSP NSP SP NSP NSP
மையமிழந்து,மையம்+அழந்து, NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
கணக்கியலை,கணக்கு+கலை, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
சந்தித்துக்கொண்ட,சந்தி+த்துக்கொண்ட, NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
சந்தர்ப்பங்கள்,சந்தர்ப்பு+கள், NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
உருமாறி,உரு+மாறி, NSP NSP NSP SP NSP NSP NSP NSP
கொலைவழக்கு,கொலை + வழக்கு, NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
வெளிவந்த,வெளி + வந்த, NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
விளக்கைச்,விளக்கு + இச், NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
இறக்கைகள்,இறக்கு + கைகள், NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
இருப்பில்,இருப்பு + இல், NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
இருள்,இருள் + டைப், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
